Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
IMU,31329,-30,761,724,-7,-5,2
IMU,31338,0,768,718,-6,-5,2
IMU,31348,32,768,722,-7,-5,2
IMU,31358,42,768,723,-6,-4,1
IMU,31368,50,767,728,-6,-3,0
IMU,31377,17,757,723,-6,-2,0
IMU,31387,-2,757,730,-6,-2,0
IMU,31397,11,759,714,-6,-3,0
IMU,31407,10,759,720,-6,-3,0
IMU,31416,6,758,718,-6,-2,0
IMU,31426,-10,760,714,-6,-3,0
IMU,31436,-22,757,708,-6,-3,0
IMU,31446,-11,754,717,-6,-4,1
IMU,31456,10,753,714,-6,-4,1
IMU,31465,19,750,722,-6,-4,1
IMU,31475,22,749,717,-6,-4,1
IMU,31485,-5,751,712,-6,-5,1
IMU,31495,3,747,710,-6,-5,2
IMU,31504,15,746,721,-6,-6,2
IMU,31514,14,739,710,-6,-6,2
IMU,31524,0,738,715,-6,-6,2
IMU,31534,-22,738,701,-7,-6,3
IMU,31543,-31,740,711,-7,-7,4
IMU,31553,-20,739,708,-7,-8,5
IMU,31563,0,741,711,-7,-8,6
IMU,31573,19,738,712,-7,-8,5
IMU,31583,10,740,719,-7,-8,5
IMU,31592,6,745,706,-7,-8,5
IMU,31602,17,747,721,-7,-8,5
IMU,31612,25,741,721,-7,-7,5
IMU,31622,27,745,730,-7,-7,4
IMU,31631,14,745,719,-7,-6,3
IMU,31641,0,746,729,-7,-6,3
IMU,31651,-9,748,725,-7,-6,3
IMU,31661,-11,759,722,-7,-6,3
IMU,31670,-5,758,725,-7,-6,3
IMU,31680,-11,760,735,-7,-5,2
IMU,31690,-15,763,721,-7,-5,2
IMU,31700,-4,778,722,-7,-5,2
IMU,31709,0,753,735,-6,-5,2
IMU,31719,0,762,764,-7,-5,2
IMU,31729,0,757,711,-7,-4,1
IMU,31739,10,766,767,-6,-5,1
IMU,31749,26,756,713,-7,-4,1
IMU,31758,5,770,746,-6,-4,0
IMU,31768,6,763,704,-7,-4,0
IMU,31778,14,765,749,-5,-4,0
IMU,31788,-7,753,707,-7,-4,0
IMU,31797,-15,763,738,-6,-4,0
IMU,31807,-7,752,715,-7,-3,0
IMU,31817,-9,757,732,-6,-4,0
IMU,31827,0,753,721,-7,-3,0
IMU,31836,8,756,734,-6,-3,0
IMU,31846,25,757,735,-7,-2,0
IMU,31856,29,766,729,-6,-2,-1
IMU,31866,17,762,722,-6,-2,-1
IMU,31875,18,763,741,-6,-2,-1
IMU,31885,21,754,735,-6,-1,-2
IMU,31895,30,760,752,-5,-1,-3
IMU,31905,29,749,737,-6,0,-4
IMU,31915,10,756,742,-5,0,-4
IMU,31924,-8,756,734,-6,0,-4
IMU,31934,-23,756,744,-5,0,-4
IMU,31944,-26,751,716,-6,0,-3
IMU,31954,-12,758,732,-5,-1,-2
IMU,31963,2,754,730,-6,0,-3
IMU,31973,20,758,738,-5,0,-3
IMU,31983,16,751,731,-5,0,-3
IMU,31993,10,751,730,-5,0,-3
IMU,32002,10,749,733,-6,-1,-3
IMU,32012,16,752,736,-5,0,-3
IMU,32022,16,747,729,-6,0,-4
IMU,32032,10,750,723,-6,0,-4
IMU,32041,8,757,726,-6,0,-4
IMU,32051,-2,762,721,-6,0,-4
IMU,32061,-9,760,707,-6,0,-3
IMU,32071,-10,760,711,-6,0,-2
IMU,32081,-5,763,721,-6,-1,-2
IMU,32090,1,761,729,-6,-1,-1
IMU,32100,9,765,724,-6,-2,-1
IMU,32110,13,763,718,-6,-2,-1
IMU,32120,7,768,721,-6,-2,-1
IMU,32129,5,768,718,-6,-2,-1
IMU,32139,0,766,718,-6,-2,0
IMU,32149,-5,759,706,-6,-3,0
IMU,32159,-6,761,715,-6,-3,0
IMU,32168,-11,762,706,-6,-3,0
IMU,32178,-9,762,710,-6,-4,0
IMU,32188,-3,758,707,-6,-4,0
